family,method,emp_mean,emp_std,cert_mean,cert_std,frac_cover_from_mu,cert_available
ER_c5,Greedy,1.198661032987985,0.07077541017992327,,,,no
ER_c5,LP+Round,1.6817642535745443,0.2484199770300124,1.7678421207585295,0.28184890786791983,,yes (LP dual)
ER_c5,GNN-plain,1.1856505580441792,0.0,,,0.0,no
ER_c5,PD-GNN (g=0),1.1856505580441792,0.0,1.2720526397339067,0.03844752211218345,0.0,yes (self)
ER_c5,PD-GNN (g=2),1.575993361659511,0.15721513159213585,1.6696731216389291,0.165177093890643,0.9951344161584308,yes (self)
ER_c3,Greedy,1.2180799496199315,0.09296419208187433,,,,no
ER_c3,LP+Round,1.1085503581440048,0.2112510822434873,1.112559687201419,0.2207154681065237,,yes (LP dual)
ER_c3,GNN-plain,1.1864688374815109,0.0,,,0.0,no
ER_c3,PD-GNN (g=0),1.1864688374815109,0.0,1.2415844442446082,0.023352009426913886,0.0,yes (self)
ER_c3,PD-GNN (g=2),1.0602329000837134,0.02966038778651857,1.0755683402025094,0.029592045104898882,0.9967897506177262,yes (self)
BA_m2,Greedy,1.1663306272661598,0.07939776216235302,,,,no
BA_m2,LP+Round,1.020300326727516,0.054869535309789,1.021130475706116,0.05638765311515883,,yes (LP dual)
BA_m2,GNN-plain,1.198163605299198,0.0,,,0.0,no
BA_m2,PD-GNN (g=0),1.198163605299198,0.0,1.2279676481128792,0.00046957549002006886,0.0,yes (self)
BA_m2,PD-GNN (g=2),1.0188363908886564,0.00514535509856193,1.0460799716415887,0.016969766387128205,0.9994230062899867,yes (self)
BA_m3,Greedy,1.1510897040508243,0.0696442583653458,,,,no
BA_m3,LP+Round,1.1320605891735567,0.2392073417019551,1.1413776412963756,0.26082489883007215,,yes (LP dual)
BA_m3,GNN-plain,1.195443718787241,0.0,,,0.0,no
BA_m3,PD-GNN (g=0),1.195443718787241,0.0,1.2751029984545128,0.0009231462657208597,0.0,yes (self)
BA_m3,PD-GNN (g=2),1.151348624016246,0.08395607053312164,1.1643265520832962,0.08469458992952354,0.9981786342263049,yes (self)
